"Label","1-hexadecanol","1-monostearin","1,2,4-benzenetriol","1,5-anhydroglucitol","2-aminoadipic acid","2-hydroxybutanoic acid","2-hydroxyglutaric acid","2-hydroxyvaleric acid","2-ketoadipic acid","2-ketoglucose dimethylacetal NIST","2-oxogluconic acid NIST","3-hydroxybutanoic acid ","3-phosphoglycerate","4-hydroxybenzoate","5'-deoxy-5'-methylthioadenosine","abietic acid","adenine","adenosine","adenosine-5-monophosphate","adipic acid","alanine","alpha ketoglutaric acid","aminomalonate","arabinose","arachidic acid","arachidonic acid","arachidonic acid isomer","arginine + ornithine","asparagine","aspartic acid","azelaic acid","behenic acid","benzoic acid","benzylalcohol","beta-alanine","capric acid","cholesterol","citric acid","citrulline","conduritol-beta-epoxide","creatinine","cysteine","cysteine-glycine","cystine","cytidine-5'-diphosphate","cytidine-5-monophosphate NIST","dehydroascorbate","dihydroabietic acid","dodecanol","elaidic acid","erythronic acid lactone","ethanolamine","FAD","fructose","fucose 1 + rhamnose 2","fumaric acid","gluconic acid","glucose","glucose-6-phosphate","glucuronic acid","glutamic acid","glutamine","glutathione","glyceric acid","glycerol","glycerol-alpha-phosphate","glycerol-beta-phosphate","glycine","glycolic acid","guanine","guanosine","heptadecanoic acid","homoserine","hydroxycarbamate NIST","hydroxylamine","hypoxanthine","icosenoic acid","idonic acid NIST","inosine","inosine 5'-monophosphate","inositol-4-monophosphate","inositol allo-","inositol myo-","inulobiose","isoleucine","isothreonic acid","lactic acid","lauric acid","leucine","levoglucosan","lignoceric acid","linoleic acid","lysine","lyxitol","malate","maltose","maltotriose","mannitol","methanolphosphate","methionine","monopalmitin-1-glyceride","myristic acid","N-acetyl-D-mannosamine","N-acetylaspartate","N-methylalanine","nicotinamide","O-acetylserine","octadecanol","oleic acid","ornithine","oxalic acid","oxoproline","p-hydroquinone","palmitic acid","palmitic acid butyl ester NIST","palmitoleic acid","pantothenic acid","pelargonic acid","pentadecanoic acid","phenylalanine","phosphoethanolamine","phosphogluconic acid","phosphoric acid","phthalic acid","pimaric acid NIST","proline","propane-1,3-diol NIST","pseudo uridine","putrescine","pyrazine 2,5-dihydroxy  NIST","pyrogallol","pyrophosphate","pyruvate","ribonic acid","ribose","ribose-5-phosphate","ribulose-5-phosphate","salicylic acid","serine","sorbitol","spermidine","stearic acid","succinic acid","sucrose","taurine","threitol","threonic acid","threonine","tocopherol alpha","tocopherol beta NIST","tocopherol gamma-","trans-4-hydroxyproline","trehalose","tryptophan","tyrosine","uracil","urea","uric acid","uridine","uridine-5'-monophosphate","valine","xanthine"
0,11.112099,9.907075,11.093423,14.241355,11.218484,13.902791,12.234127,14.627043,12.729476,6.223646,7.109313,14.635621,11.240295,9.372037,7.469402,13.268144,10.634814,13.217191,13.133739,13.490611,18.569956,7.914542,12.912146,10.312724,13.311916,13.547547,13.631743,15.06809,13.614899,17.459084,10.392043,12.674935,15.068717,13.034799,11.765904,12.223216,19.062341,13.903193,11.693966,14.307264,16.088569,12.87244,7.277584,7.297303,14.308277,14.452785,9.287477,15.359196,12.221927,12.535405,13.051948,19.657083,10.128703,11.45521,12.007002,14.134652,8.946112,14.19382,9.029036,9.364268,17.916975,13.052915,11.680264,14.038587,17.424141,17.920013,11.334756,20.438768,12.531768,12.450264,12.377065,13.624931,8.523421,9.681828,15.140719,15.667951,11.378994,8.5094,16.002771,11.014715,13.183482,10.881177,18.616661,10.83583,16.826203,11.538342,14.41568,14.169006,17.295638,11.458132,12.149419,10.865302,15.502759,10.341499,14.832736,14.738369,14.993373,11.801722,13.772376,13.867021,10.513621,12.762213,7.24411,13.759254,14.233914,14.357974,9.958549,10.177399,12.584211,12.598188,17.947302,20.428122,9.277584,16.063854,11.846743,10.886068,10.853141,16.280399,11.804021,16.355025,18.051272,13.504902,20.27231,12.893104,11.931465,16.605106,14.098993,10.625744,14.010429,13.676583,10.512918,7.808608,10.726146,13.893172,6.822283,9.462141,8.247492,10.542135,17.801645,12.691794,10.061108,19.556637,15.131852,11.648632,16.245168,9.194149,15.081775,17.068583,15.182295,10.661051,11.639649,10.297303,13.176623,13.820936,16.94004,15.026577,17.861534,12.452281,8.127786,7.367381,17.127506,8.944028
0,11.658437,10.598369,11.993399,12.298942,10.547373,14.436735,13.568694,16.712891,13.405477,7.02202,7.858521,15.298676,9.966878,11.126356,8.565162,10.989452,10.472053,12.338269,11.768486,13.618742,17.759883,9.912328,10.789069,9.750718,14.656157,13.085338,12.855271,13.795489,14.900815,16.049057,10.962858,12.60827,15.702153,14.46733,12.249189,12.171186,19.497156,14.492533,10.362379,14.958153,15.335292,8.507447,8.500067,8.285054,13.247537,10.719285,9.360342,14.863112,11.671635,10.314802,15.276441,20.701838,8.787555,11.763872,11.922024,12.825321,8.958826,12.47723,9.250289,9.214665,17.613315,15.888945,9.738227,12.855271,17.36241,15.963109,10.060155,19.753718,12.736265,11.700092,11.117944,14.717696,8.477699,10.011678,16.404242,14.87582,12.87109,8.02202,14.319657,7.674097,13.130246,9.135911,18.895343,10.297878,16.072374,11.603543,18.328448,14.721171,15.966167,12.200507,11.978873,10.997336,14.644072,10.027163,13.711119,13.407451,12.53072,12.513873,12.353705,12.221973,10.714511,13.72345,7.990769,12.941905,14.937131,12.554515,10.358303,11.543789,13.64825,11.063914,17.012954,18.426021,11.507447,17.093942,12.590573,14.109937,10.68227,16.766782,12.704513,14.863202,16.201716,11.312697,20.525324,13.267776,10.593177,16.984792,15.538452,10.267776,14.469339,11.76695,11.301067,8.9802,11.070156,10.133528,9.285054,9.942585,8.223654,11.555405,16.496363,11.976881,10.214665,20.801511,13.753242,12.686746,15.800238,10.613836,12.888857,16.153509,16.223549,12.070156,11.92616,11.859963,11.458791,13.027484,15.605371,14.627023,18.212003,12.266689,9.380577,7.969552,16.409022,8.477699
0,10.390127,9.326581,11.281837,13.56465,10.040969,14.128271,15.33238,15.050071,12.108104,5.886435,6.853645,13.957476,10.822742,9.030922,10.23725,8.376486,10.970557,12.756384,12.577179,12.111792,18.998509,9.128378,12.690167,10.036411,12.630476,14.214631,14.177334,14.926371,14.434673,17.361412,8.972944,10.919982,14.68897,12.685808,13.501641,11.650002,18.866659,14.392314,11.949861,15.508137,16.546391,12.85856,7.410702,10.229284,14.175729,15.315736,8.573093,11.638318,10.389412,10.012473,11.372513,19.60955,9.579374,11.413868,12.640422,14.133349,9.25148,13.586096,13.818766,9.749438,18.844882,15.344508,10.207553,13.405409,17.347645,16.101505,10.453045,20.49737,12.16955,12.437052,13.186209,12.614509,9.291816,9.07248,14.819828,16.682876,10.686245,9.897537,16.734513,10.064443,13.410702,9.792245,18.657705,12.49052,17.158928,11.387624,18.980528,14.066344,17.274223,11.316841,10.409292,10.705897,15.947936,10.754998,14.943727,13.129021,13.139685,10.26557,13.915273,14.244037,10.33031,11.887448,7.145412,12.734742,14.663367,14.417335,11.025412,9.566785,13.024491,13.043584,17.600555,19.684171,9.145412,15.033183,10.05906,11.276822,12.1031,15.22861,11.087981,16.358464,16.88615,13.662628,20.665856,12.794406,9.456462,17.487168,13.963071,10.885422,13.088091,15.067266,10.444125,11.181366,11.032754,12.919735,10.730938,9.621373,7.620155,9.617716,17.275372,12.244383,10.372875,18.427132,13.620003,11.231679,16.354911,9.459189,13.398854,17.056768,14.36144,10.146258,11.891492,11.779481,11.289519,13.855135,16.900707,16.274211,18.011109,13.129556,11.453729,8.158895,17.509767,12.6093
0,12.160193,10.918137,12.934515,15.019961,8.797349,15.122361,12.440414,17.579449,14.190136,7.947374,8.757271,17.292738,10.962875,10.301011,9.508391,9.192486,10.779951,11.515917,9.154418,13.793019,17.632469,10.437247,10.424508,10.453014,13.969742,12.309697,12.309697,14.77353,15.936549,15.38673,10.624332,12.763607,16.951404,14.889888,12.985277,13.024849,19.464077,15.968302,10.025376,12.815148,13.267966,11.10737,8.629892,10.304491,14.910734,10.973846,10.789918,12.53382,12.564626,8.999841,14.911305,21.331088,8.427703,11.998768,12.266628,12.532336,10.294024,16.282047,10.871967,9.911305,17.04352,13.817891,8.427703,12.363246,17.997794,16.105438,10.138905,19.234024,13.385601,11.060795,12.664162,14.22866,8.767395,11.066956,17.474947,14.031953,11.914725,8.440414,15.909234,8.694987,12.672267,10.087304,17.891571,11.419701,16.30536,11.316608,15.217741,15.269191,16.295829,12.354878,12.203714,9.624332,14.646786,11.203714,13.139393,15.374467,14.848464,11.555891,12.803511,11.674958,10.474803,13.564989,8.651918,13.398687,15.459273,12.451445,9.836343,11.631278,11.586234,11.269302,16.188725,18.607414,12.098375,16.526853,8.131086,12.909592,11.49322,17.728066,12.945146,14.536597,15.692,13.028011,20.423201,13.947374,10.757271,16.361733,16.32905,11.216703,15.420102,9.651918,12.153454,8.874311,12.189666,9.375708,9.78245,9.440414,9.008403,12.610339,16.35493,12.353198,11.688341,20.195316,13.34308,12.44594,15.724599,10.236881,13.499308,15.828356,10.029589,10.254982,10.405185,11.115319,13.753774,13.158752,15.397058,13.580863,18.480319,13.200915,8.236881,8.414879,16.993555,9.40194
0,10.185206,9.069104,12.949058,13.842015,10.764847,14.633731,13.155491,14.434416,12.115098,6.417608,8.212138,14.991121,10.727356,8.991891,8.483125,7.950575,9.839412,10.279545,13.01594,11.960468,18.294247,8.032057,13.172377,10.19455,12.331291,13.679328,13.580155,14.774965,14.317673,17.223416,8.954981,10.514055,13.827899,12.992159,11.898353,12.706933,19.166407,13.748683,11.781374,15.596834,18.232399,15.250806,7.24848,11.753196,14.349809,14.769817,9.042443,10.745905,9.342262,10.116082,12.489592,19.243685,9.22131,13.003102,11.691176,14.134283,8.085269,14.994502,9.23224,9.153935,18.29314,14.596063,8.983291,14.053783,16.442208,17.184913,11.121481,20.349705,12.73474,13.129663,12.446834,12.693485,8.568972,9.282177,14.257034,16.73508,11.175329,8.71637,16.239001,9.315105,13.256086,8.408,19.075744,10.142393,16.849447,12.855847,15.508095,14.318635,17.752187,11.325349,10.649997,10.24848,15.150038,10.342262,14.795106,13.525392,13.637975,12.019493,14.086336,14.426259,9.09528,11.979242,8.498295,12.441153,15.151388,12.646426,10.473946,9.778581,13.078597,13.243537,18.415608,19.713679,9.690186,15.03147,9.357317,11.084264,10.881674,15.267947,11.33002,15.811653,17.873957,13.471449,20.311805,12.684891,9.447615,17.46604,14.130576,10.998308,12.930444,14.420796,12.428142,10.185206,11.673576,12.508821,9.438207,10.171076,8.404784,9.478543,17.625011,12.169892,9.990819,18.388795,14.561138,10.528905,19.033717,9.204759,14.757458,16.464635,15.9859,12.648128,13.904416,10.307374,11.772042,14.174385,16.74518,15.973334,19.110742,14.444388,11.928346,7.679578,17.87428,9.202908
0,10.56528,8.540112,11.448197,12.952697,9.316848,12.981029,11.443214,13.441416,11.508403,5.881621,6.494598,12.508785,10.991648,9.280658,8.17498,8.33676,10.457123,12.089161,11.64556,12.401796,17.823433,7.155614,13.098636,9.132027,11.810347,12.413155,12.30019,14.055143,14.543073,16.756974,8.745766,10.33719,13.428666,11.965752,10.972684,12.031368,18.199569,14.330405,11.188621,14.970262,16.622151,15.3003,6.624233,11.730141,13.344424,14.643237,10.57187,10.983433,9.509929,8.091838,12.760663,18.148631,8.039975,9.117087,11.239173,13.149448,7.201662,11.46619,9.898611,9.923441,17.736703,15.064907,6.469723,13.280043,15.454575,13.855304,8.355552,20.123303,11.442016,11.171127,11.78079,12.170042,8.37912,8.410502,13.695905,15.166721,11.629682,7.472856,15.894692,9.714345,13.0627,8.348747,17.862759,8.434804,15.861947,10.513737,15.300093,13.818951,16.790916,10.797598,9.532625,9.3657,14.511691,9.65421,13.410707,12.823368,7.986177,9.714345,13.621897,13.545097,8.425133,11.603479,7.238943,11.475982,14.367674,13.455886,9.294004,9.965196,11.279093,13.116837,17.773662,19.5137,9.071316,14.446156,8.697035,10.255865,11.529056,14.664073,10.849742,14.991904,15.824614,13.205728,22.391822,12.877268,8.07956,16.363677,13.04518,9.40231,13.243822,11.328785,10.832772,9.610786,11.091838,10.759942,8.122085,8.87216,6.296658,9.059903,16.990265,10.067694,9.796035,17.960116,15.6907,10.05834,17.101303,9.344477,13.967245,15.882182,13.483234,9.005776,10.108552,9.632661,11.202606,13.172453,15.829472,15.178672,17.269698,12.325972,10.729487,6.463437,16.907593,9.872753
0,10.409537,10.074608,12.197364,14.024785,10.034634,14.112079,17.346641,12.560563,12.358841,6.372936,7.193965,13.378685,12.664695,9.25177,10.161853,9.095402,11.390857,10.449989,13.703653,11.920001,18.534813,9.72186,12.795094,11.225378,12.866391,12.90345,13.017593,15.081675,14.196232,15.933056,10.36389,11.791725,13.880114,13.163447,13.980677,12.824513,19.014009,15.153967,11.614945,16.006577,17.003718,14.281095,8.133748,9.549967,13.663159,15.380274,11.469797,11.320394,10.423147,10.563199,12.466045,19.592655,7.835279,11.563638,11.802923,12.969705,11.763343,14.548471,10.949189,9.207512,17.659885,16.281462,9.107495,12.294181,17.242589,15.559242,10.973179,20.577913,12.441893,12.458511,12.252587,12.868524,9.227596,8.564077,15.088173,15.257344,12.316753,9.524939,15.414017,8.881082,13.433031,9.37093,19.584287,10.598759,16.792287,11.885654,15.994357,14.836687,17.417899,11.499927,11.072142,9.649267,15.831957,10.081981,13.61685,16.603556,17.288276,11.284094,14.133157,13.68087,10.182579,12.887584,9.136111,15.377437,14.978827,12.096009,8.742169,11.075224,12.53191,12.738675,17.772937,19.545957,9.866924,15.547834,9.935008,12.191695,11.154295,15.096198,11.600471,15.593663,18.506049,13.582714,20.626658,12.495792,10.02319,17.669387,14.314929,10.286224,13.420362,14.535159,11.483781,10.843255,12.033367,10.742945,8.57108,10.581522,8.872604,10.246311,17.152299,12.423631,10.304198,18.790451,14.05554,10.692457,16.519179,8.688437,13.767351,16.906276,12.545752,8.832367,9.542861,11.329715,14.915366,14.641802,16.563556,15.36367,17.690976,12.338207,11.006496,8.324026,17.930787,9.462283
0,11.015789,9.528222,11.484962,14.951437,10.718695,14.961006,11.999657,15.316881,12.634686,6.562536,10.151603,14.399369,10.985643,9.772989,9.118436,8.697796,11.107385,14.520705,12.746606,11.521498,18.393326,9.161813,12.812895,9.574815,12.619024,13.499728,13.430369,15.255427,13.868345,17.325273,9.178001,11.457043,15.64689,13.255249,11.670882,12.363713,18.788539,15.796279,12.271959,15.923693,17.061198,13.939135,7.98219,9.634686,13.470351,12.061224,9.672311,11.220137,10.290224,10.577868,15.075876,19.691951,7.049724,11.514742,12.414339,13.556938,8.361057,16.63861,8.61995,9.018601,17.840638,15.124094,12.320845,14.779759,17.083877,16.109447,10.527433,20.496404,12.565231,11.630281,12.416259,12.944246,9.297651,8.841919,15.23345,15.039412,11.558291,7.084489,15.787239,9.345017,12.655971,9.899186,19.079438,8.750163,16.622308,11.974391,13.125627,14.843109,17.768695,11.382606,10.70689,10.563307,15.920464,10.070466,14.16264,12.293246,12.491453,11.664792,13.299964,14.310098,8.949559,12.552095,8.211808,12.714193,15.159077,12.520903,9.14132,10.528222,13.257274,13.183649,16.975405,19.862874,9.147499,15.349406,10.431952,11.935643,10.556358,16.052607,11.97526,16.014927,18.24055,12.869591,20.483931,12.23133,9.571755,16.980551,14.383152,10.392611,13.551998,13.48364,10.683693,9.889388,12.755735,11.189025,9.779634,10.262027,7.23133,10.192018,17.571264,12.420092,10.833001,18.651543,14.016,10.403839,18.435468,9.345017,14.875536,16.580059,14.830763,10.53295,13.177624,9.768987,10.297651,14.311818,16.833381,14.570702,19.421575,12.842871,10.910129,7.151603,17.456019,9.197983
0,12.71913,11.215183,14.796994,13.753114,8.234385,14.321848,10.90136,11.932689,13.228521,7.088534,7.976889,14.572778,10.506925,9.880459,7.556313,9.099999,9.767565,7.589228,8.328361,14.121137,18.17685,9.798388,11.089493,9.647687,13.584814,13.375706,13.184099,14.920212,14.017257,17.310147,11.751297,12.885436,15.392994,13.847678,12.149575,12.561851,18.228439,14.650614,12.356516,14.674216,12.778309,12.360494,7.976889,10.733617,14.597593,9.025798,10.614763,12.314895,12.046192,9.928408,15.974814,20.756924,8.733617,13.211445,11.826842,13.244752,11.440836,16.034911,12.414294,11.244752,17.011719,14.780834,7.52263,15.251247,17.494004,11.898627,9.338076,20.133335,13.660811,14.393577,10.457273,13.959686,7.452808,9.647687,16.13499,16.420975,11.756136,7.578339,11.366835,7.810069,12.064839,8.288833,18.374078,9.20637,16.981674,10.94015,11.83487,14.394935,17.711248,14.134903,12.221321,10.591937,17.222059,10.013725,14.102851,12.168756,11.445337,12.71882,11.900814,14.826195,10.89808,13.281928,8.261866,9.629342,15.0298,12.678603,9.691292,11.835441,12.782169,12.092844,16.329021,19.725749,11.441587,16.317276,11.133858,11.538868,10.197503,16.684823,11.743398,16.077672,13.363271,12.338479,20.63938,13.762764,9.767565,17.914102,14.765541,12.280039,14.71261,8.985156,14.050876,7.589228,9.647687,11.726854,12.692555,9.3413,7.900267,11.115146,17.890053,13.355719,10.137571,19.647316,13.32144,9.997469,15.610134,10.04372,12.718201,16.956995,13.147965,9.373149,11.447583,10.502612,11.214305,13.858266,17.036357,17.610594,18.571197,12.947573,10.814716,7.40431,17.651466,11.811814
0,12.419374,10.275452,14.422362,13.473522,9.531077,14.407947,12.179839,16.088763,14.119844,8.584361,7.690489,14.256354,12.822693,10.442721,8.822401,9.466817,10.036767,12.601126,12.091066,13.704173,17.967356,9.904085,11.36952,9.748154,13.375698,12.761913,12.916713,14.649792,13.159886,16.898646,11.266042,12.970108,15.506951,13.767987,12.907115,14.111032,19.006293,15.128071,11.043792,15.799051,15.190109,11.713958,8.1359,8.325725,14.34576,12.513472,9.402687,12.531077,12.835183,12.881575,15.258297,20.445175,8.258297,11.947007,11.703223,13.253327,9.767684,14.913361,10.66468,10.345354,17.220695,14.988755,11.25311,13.29934,17.724098,15.259914,9.154564,19.870482,13.086213,11.686006,12.676997,13.865096,9.261744,10.038778,15.711006,15.086578,11.649628,8.002149,16.080124,8.042791,12.872866,8.265183,18.919022,9.625079,15.788222,11.391716,15.213384,14.468869,16.835708,12.720236,12.428989,9.947543,15.680824,9.805966,13.959267,12.72274,13.330862,12.340064,12.460831,13.474079,10.445756,12.991028,8.1359,8.840957,14.510487,13.409502,9.925977,11.544584,12.912333,11.574692,17.285647,19.448884,10.529648,16.095359,14.306243,11.880173,10.471291,16.13152,12.280558,14.835328,18.010625,13.112226,21.329,13.278858,10.218049,17.241495,14.235577,9.910687,15.020198,12.436634,13.047292,9.09397,12.018543,11.596697,10.822401,9.901877,8.364719,10.709547,16.830167,12.788446,10.396428,19.572164,14.023502,10.14899,16.046262,9.484628,13.714116,16.143278,13.678287,9.740762,11.855289,9.669879,11.582983,12.926792,15.882904,14.182911,18.267235,12.163346,10.036767,8.105527,16.783434,9.762826
