"Label","2-aminoadipic acid","2-hydroxyglutaric acid","2-hydroxyvaleric acid","3-phosphoglycerate","5'-deoxy-5'-methylthioadenosine","adenine","alanine","alpha ketoglutaric acid","arachidonic acid","asparagine","benzylalcohol","beta-alanine","citric acid","citrulline","creatinine","cytidine-5-monophosphate NIST","dodecanol","fumaric acid","glucose","glucuronic acid","glutamic acid","glutamine","glyceric acid","glycerol","glycerol-alpha-phosphate","glycerol-beta-phosphate","glycolic acid","hydroxylamine","hypoxanthine","idonic acid NIST","inosine 5'-monophosphate","malate","maltose","methanolphosphate","N-acetyl-D-mannosamine","N-methylalanine","nicotinamide","oxalic acid","p-hydroquinone","phosphoethanolamine","phosphoric acid","proline","pseudo uridine","pyrazine 2,5-dihydroxy  NIST","serine","threonic acid","tocopherol beta NIST","trehalose","uracil","urea","uridine-5'-monophosphate","xanthine"
0,11.218484,12.234127,14.627043,11.240295,7.469402,10.634814,18.569956,7.914542,13.547547,13.614899,13.034799,11.765904,13.903193,11.693966,16.088569,14.452785,12.221927,14.134652,14.19382,9.364268,17.916975,13.052915,14.038587,17.424141,17.920013,11.334756,12.531768,15.140719,15.667951,8.5094,11.014715,14.832736,14.738369,13.772376,7.24411,14.233914,14.357974,17.947302,9.277584,18.051272,20.27231,16.605106,10.625744,13.676583,17.801645,15.081775,10.661051,13.176623,15.026577,17.861534,7.367381,8.944028
0,10.547373,13.568694,16.712891,9.966878,8.565162,10.472053,17.759883,9.912328,13.085338,14.900815,14.46733,12.249189,14.492533,10.362379,15.335292,10.719285,11.671635,12.825321,12.47723,9.214665,17.613315,15.888945,12.855271,17.36241,15.963109,10.060155,12.736265,16.404242,14.87582,8.02202,7.674097,13.711119,13.407451,12.353705,7.990769,14.937131,12.554515,17.012954,11.507447,16.201716,20.525324,16.984792,10.267776,11.76695,16.496363,12.888857,12.070156,11.458791,14.627023,18.212003,7.969552,8.477699
0,10.040969,15.33238,15.050071,10.822742,10.23725,10.970557,18.998509,9.128378,14.214631,14.434673,12.685808,13.501641,14.392314,11.949861,16.546391,15.315736,10.389412,14.133349,13.586096,9.749438,18.844882,15.344508,13.405409,17.347645,16.101505,10.453045,12.16955,14.819828,16.682876,9.897537,10.064443,14.943727,13.129021,13.915273,7.145412,14.663367,14.417335,17.600555,9.145412,16.88615,20.665856,17.487168,10.885422,15.067266,17.275372,13.398854,10.146258,11.289519,16.274211,18.011109,8.158895,12.6093
0,8.797349,12.440414,17.579449,10.962875,9.508391,10.779951,17.632469,10.437247,12.309697,15.936549,14.889888,12.985277,15.968302,10.025376,13.267966,10.973846,12.564626,12.532336,16.282047,9.911305,17.04352,13.817891,12.363246,17.997794,16.105438,10.138905,13.385601,17.474947,14.031953,8.440414,8.694987,13.139393,15.374467,12.803511,8.651918,15.459273,12.451445,16.188725,12.098375,15.692,20.423201,16.361733,11.216703,9.651918,16.35493,13.499308,10.254982,13.753774,13.580863,18.480319,8.414879,9.40194
0,10.764847,13.155491,14.434416,10.727356,8.483125,9.839412,18.294247,8.032057,13.679328,14.317673,12.992159,11.898353,13.748683,11.781374,18.232399,14.769817,9.342262,14.134283,14.994502,9.153935,18.29314,14.596063,14.053783,16.442208,17.184913,11.121481,12.73474,14.257034,16.73508,8.71637,9.315105,14.795106,13.525392,14.086336,8.498295,15.151388,12.646426,18.415608,9.690186,17.873957,20.311805,17.46604,10.998308,14.420796,17.625011,14.757458,12.648128,11.772042,15.973334,19.110742,7.679578,9.202908
0,9.316848,11.443214,13.441416,10.991648,8.17498,10.457123,17.823433,7.155614,12.413155,14.543073,11.965752,10.972684,14.330405,11.188621,16.622151,14.643237,9.509929,13.149448,11.46619,9.923441,17.736703,15.064907,13.280043,15.454575,13.855304,8.355552,11.442016,13.695905,15.166721,7.472856,9.714345,13.410707,12.823368,13.621897,7.238943,14.367674,13.455886,17.773662,9.071316,15.824614,22.391822,16.363677,9.40231,11.328785,16.990265,13.967245,9.005776,11.202606,15.178672,17.269698,6.463437,9.872753
0,10.034634,17.346641,12.560563,12.664695,10.161853,11.390857,18.534813,9.72186,12.90345,14.196232,13.163447,13.980677,15.153967,11.614945,17.003718,15.380274,10.423147,12.969705,14.548471,9.207512,17.659885,16.281462,12.294181,17.242589,15.559242,10.973179,12.441893,15.088173,15.257344,9.524939,8.881082,13.61685,16.603556,14.133157,9.136111,14.978827,12.096009,17.772937,9.866924,18.506049,20.626658,17.669387,10.286224,14.535159,17.152299,13.767351,8.832367,14.915366,15.36367,17.690976,8.324026,9.462283
0,10.718695,11.999657,15.316881,10.985643,9.118436,11.107385,18.393326,9.161813,13.499728,13.868345,13.255249,11.670882,15.796279,12.271959,17.061198,12.061224,10.290224,13.556938,16.63861,9.018601,17.840638,15.124094,14.779759,17.083877,16.109447,10.527433,12.565231,15.23345,15.039412,7.084489,9.345017,14.16264,12.293246,13.299964,8.211808,15.159077,12.520903,16.975405,9.147499,18.24055,20.483931,16.980551,10.392611,13.48364,17.571264,14.875536,10.53295,10.297651,14.570702,19.421575,7.151603,9.197983
0,8.234385,10.90136,11.932689,10.506925,7.556313,9.767565,18.17685,9.798388,13.375706,14.017257,13.847678,12.149575,14.650614,12.356516,12.778309,9.025798,12.046192,13.244752,16.034911,11.244752,17.011719,14.780834,15.251247,17.494004,11.898627,9.338076,13.660811,16.13499,16.420975,7.578339,7.810069,14.102851,12.168756,11.900814,8.261866,15.0298,12.678603,16.329021,11.441587,13.363271,20.63938,17.914102,12.280039,8.985156,17.890053,12.718201,9.373149,11.214305,17.610594,18.571197,7.40431,11.811814
0,9.531077,12.179839,16.088763,12.822693,8.822401,10.036767,17.967356,9.904085,12.761913,13.159886,13.767987,12.907115,15.128071,11.043792,15.190109,12.513472,12.835183,13.253327,14.913361,10.345354,17.220695,14.988755,13.29934,17.724098,15.259914,9.154564,13.086213,15.711006,15.086578,8.002149,8.042791,13.959267,12.72274,12.460831,8.1359,14.510487,13.409502,17.285647,10.529648,18.010625,21.329,17.241495,9.910687,12.436634,16.830167,13.714116,9.740762,11.582983,14.182911,18.267235,8.105527,9.762826
