"Label","KPC1","KPC2"
1,-0.854962695395089,-2.35141278876092e-18
1,9.06909446196619,0.0280475749142358
1,-1.9505227959294,0.253816470064212
1,-0.37586104721373,-0.00232379887493872
0,-0.293537040349512,-0.183175629504013
0,-0.226825820455248,0.549179986455675
1,-0.234060233965164,-0.157790761121038
0,-0.184340503508221,0.585452516391572
0,-0.189249345924764,-0.279162260566468
0,-0.183609950734278,-0.136989809122159
1,-0.177259351786094,0.111222510536725
1,-0.14476713591538,0.388745039669866
0,-0.145057517060783,-0.0289955937459319
0,-0.133140477580993,-0.641197930296394
1,-0.12737357459024,0.215733451121508
0,-0.120267919909281,-0.00633898042583675
1,-0.120330979746184,0.182502869996293
1,-0.108593594756453,-0.0940220167772848
1,-0.108950148201056,-0.0948921620205887
1,-0.0647595019755214,-0.314995544623936
1,-0.0719047161510303,-0.155547205345719
1,-0.0279385071487844,-0.508923151403067
0,-0.0280351685803267,-0.1872494074637
1,-0.0210077625119906,0.912424859364569
1,-0.0207320124602465,-0.0233513278797046
0,-0.0123761183575875,0.319030475530121
0,-0.00602815717944499,0.0592080149303875
1,0.0375828583774642,0.28589001387892
1,0.0374712267738299,0.211168938956307
1,0.045182617495053,-0.316366642516075
1,0.0371057096487676,0.114212738745725
1,0.00596635079139616,0.373806921665694
0,0.00520056103086549,0.352793212363326
0,0.00520056100668203,0.0864333312152157
0,0.0127557564034562,0.409056155513263
0,0.0121094641751143,0.572237410620736
1,0.0119936808356761,0.161984778744933
0,0.0121094639223176,0.255246459944615
0,0.011993681936756,0.283217943924875
0,0.0127537454940519,1.64169722244094
0,0.0588353296331012,0.509497404000664
0,0.0588370084618663,-0.35847689785738
0,0.0585920625349312,-0.243698009266744
1,0.0524453937563616,-0.264238617803616
1,0.0524453416128078,-1.25227483516041
1,0.0525759450989124,0.289585028971647
0,0.0202312929694055,-0.661432871810948
1,0.0162590320793041,0.138795764422037
1,0.00573334350464401,1.18255908402735
1,0.0125185606309064,-0.919656253981757
1,0.00760854844068934,-1.17137468908802
0,0.00819549117041773,0.50505985105382
0,-0.036276922221225,-0.972749492007463
1,-0.0435945717586266,2.51174166771046
0,-0.0871374755547885,-6.89938937805656
0,-0.0939956227176791,-3.583316507187
1,-0.0590319974301125,0.872088392210833
1,-0.0944973471794115,0.616194496579746
1,-0.0946153912691319,0.210787844293063
1,-0.109073945380474,0.643450736217191
0,-0.109073856768659,0.526898749512826
1,-0.107344607223092,0.307075651622226
0,-0.107347840355701,-0.55275327148699
1,-0.151160727913048,-0.478976371716503
0,-0.151160774231227,0.198252085427155
1,-0.202196102147467,0.583352649435134
1,-0.17037712118103,0.0994183504752214
1,-0.17037712092244,-1.07316871672834
0,-0.21598625318116,-0.0519633682411063
0,-0.215100139599393,0.390809669938506
1,-0.220156767286428,0.620318373583394
1,-0.215100883069468,0.211563672180004
0,-0.21510088608752,-0.114820566419144
1,-0.170381990628801,0.744418491873961
1,-0.156414173119601,-0.14906504482302
1,-0.127676784198092,0.334626123595819
1,-0.121545125773477,0.288713600318721
1,-0.121549328084529,-0.264098893079881
1,-0.0682679376381811,-0.0690741000174698
0,-0.0681578662050914,-0.190952444229834
0,0.00972600332426249,0.203539497609562
0,0.0118904878567901,0.772887874247801
0,-0.0220471325994945,0.408370280276308
0,0.017100101719803,0.0738904097184839
1,-0.0207420945642992,-0.314094697186137
0,-0.0564467016694714,0.71678417038408
1,-0.0124858921406847,0.260373912641895
1,-0.0136006251652076,0.142734518517575
